DSO Name,Maßnahmen ID,Grid Type,Cities,Project Type,State,Capacity Change,Date of completion,Geo Codes
Avacon,296,,"Burhafe, Roffhausen",ENB (Ersatzneubau),Planned,,Not Specified (part of plan up to 2045),"{""Burhafe, Germany"":{""lat"":53.5980705,""lng"":7.70804,""address"":{""formatted"":""26409 Wittmund-Burhafe, Germany""}},""Roffhausen, Germany"":{""lat"":53.5258765,""lng"":8.0283306,""address"":{""formatted"":""26419 Schortens-Roffhausen, Germany""}}}"
Avacon,297,,"Hohenkirchen, Carolinensiel, Esens",ENB (Ersatzneubau),Planned,,Not Specified (part of plan up to 2045),"{""Hohenkirchen, Germany"":{""lat"":53.9165978,""lng"":11.3070943,""address"":{""formatted"":""23 Hohenkirchen, Germany""}},""Carolinensiel, Germany"":{""lat"":53.6912975,""lng"":7.803832399999999,""address"":{""formatted"":""26409 Wittmund-Carolinensiel, Germany""}},""Esens, Germany"":{""lat"":53.6450283,""lng"":7.614752900000001,""address"":{""formatted"":""26427 Esens, Germany""}}}"
Avacon,298,,"Hohenkirchen, Burhafe",ENB (Ersatzneubau),Planned,,Not Specified (part of plan up to 2045),"{""Hohenkirchen, Germany"":{""lat"":53.9165978,""lng"":11.3070943,""address"":{""formatted"":""23 Hohenkirchen, Germany""}},""Burhafe, Germany"":{""lat"":53.5980705,""lng"":7.70804,""address"":{""formatted"":""26409 Wittmund-Burhafe, Germany""}}}"
Avacon,299,,"Garbsen, Stöcken",ENB (Ersatzneubau),Planned,,Not Specified (part of plan up to 2045),"{""Garbsen, Germany"":{""lat"":52.4272509,""lng"":9.5955146,""address"":{""formatted"":""30 Garbsen, Germany""}},""Stöcken, Germany"":{""lat"":52.416733,""lng"":9.660706,""address"":{""formatted"":""53797 Lohmar-Stöcken, Germany""}}}"
Avacon,303,Line,"Lehrte, Stöcken",ENB (Ersatzneubau),Planned,256,Not Specified (part of plan up to 2045),"{""Lehrte, Germany"":{""lat"":52.3746255,""lng"":9.9784211,""address"":{""formatted"":""31275 Lehrte, Germany""}},""Stöcken, Germany"":{""lat"":52.416733,""lng"":9.660706,""address"":{""formatted"":""53797 Lohmar-Stöcken, Germany""}}}"
Avacon,305,Line,"Ahlem, Stöcken",ENB (Ersatzneubau),Planned,128,Not Specified (part of plan up to 2045),"{""Ahlem, Germany"":{""lat"":52.384455,""lng"":9.663740599999999,""address"":{""formatted"":""Ahlem, 30 Hannover-Ahlem-Badenstedt-Davenstedt, Germany""}},""Stöcken, Germany"":{""lat"":52.416733,""lng"":9.660706,""address"":{""formatted"":""53797 Lohmar-Stöcken, Germany""}}}"
Avacon,307,Line,"Bierde, Ohlensehlen",ENB (Ersatzneubau),Planned,632,Not Specified (part of plan up to 2045),"{""Bierde, Germany"":{""lat"":52.7817315,""lng"":9.5008919,""address"":{""formatted"":""29693 Böhme-Bierde, Germany""}},""Ohlensehlen, Germany"":{""lat"":51.165691,""lng"":10.451526,""address"":{""formatted"":""Germany""}}}"
Avacon,308,Line,"Sulingen, Mainsche, Mehringen",FLM (Freileitungsmonitoring),Planned,122,Not Specified (part of plan up to 2045),"{""Sulingen, Germany"":{""lat"":52.6823432,""lng"":8.8037257,""address"":{""formatted"":""27232 Sulingen, Germany""}},""Mainsche, Germany"":{""lat"":52.6327477,""lng"":9.006708399999999,""address"":{""formatted"":""31621 Pennigsehl-Mainsche, Germany""}},""Mehringen, Germany"":{""lat"":51.7283132,""lng"":11.5157204,""address"":{""formatted"":""06449 Aschersleben-Mehringen, Germany""}}}"
Avacon,309,Line,"Mehringen, Nienburg",80°C-Trassierung / Uprating,Planned,206,Not Specified (part of plan up to 2045),"{""Mehringen, Germany"":{""lat"":51.7283132,""lng"":11.5157204,""address"":{""formatted"":""06449 Aschersleben-Mehringen, Germany""}},""Nienburg, Germany"":{""lat"":52.6380924,""lng"":9.2084155,""address"":{""formatted"":""31582 Nienburg, Germany""}}}"
Avacon,311,UW,Lehrte,NB (Neubau),Planned,300,Not Specified (part of plan up to 2045),"{""Lehrte, Germany"":{""lat"":52.3746255,""lng"":9.9784211,""address"":{""formatted"":""31275 Lehrte, Germany""}}}"
Avacon,312,UW,Mehrum,NB (Neubau),Planned,600,Not Specified (part of plan up to 2045),"{""Mehrum, Germany"":{""lat"":52.3046339,""lng"":10.0942011,""address"":{""formatted"":""31249 Hohenhameln-Mehrum, Germany""}}}"
Avacon,313,UW,Bleckenstedt,NB (Neubau),Planned,900,Not Specified (part of plan up to 2045),"{""Bleckenstedt, Germany"":{""lat"":52.1773578,""lng"":10.4057793,""address"":{""formatted"":""38239 Salzgitter-Bleckenstedt, Germany""}}}"
Avacon,315,Line,"Clenze, Lüchow",80°C-Trassierung / Uprating,Planned,150,Not Specified (part of plan up to 2045),"{""Clenze, Germany"":{""lat"":52.93442599999999,""lng"":10.954224,""address"":{""formatted"":""29459 Clenze, Germany""}},""Lüchow, Germany"":{""lat"":52.9664542,""lng"":11.1503249,""address"":{""formatted"":""29439 Lüchow, Germany""}}}"
Avacon,316,Line,"Hattorf, Fallersleben",FLM (Freileitungsmonitoring),Planned,141,Not Specified (part of plan up to 2045),"{""Hattorf, Germany"":{""lat"":51.6460732,""lng"":10.2346962,""address"":{""formatted"":""37 Hattorf am Harz, Germany""}},""Fallersleben, Germany"":{""lat"":52.4159927,""lng"":10.7167046,""address"":{""formatted"":""Fallersleben, 38 Wolfsburg-Fallersleben-Sülfeld, Germany""}}}"
Avacon,317,Line,"Hattorf, Braunschweig, Moritzburg",FLM (Freileitungsmonitoring),Planned,126,Not Specified (part of plan up to 2045),"{""Hattorf, Germany"":{""lat"":51.6460732,""lng"":10.2346962,""address"":{""formatted"":""37 Hattorf am Harz, Germany""}},""Braunschweig, Germany"":{""lat"":52.2677907,""lng"":10.5245656,""address"":{""formatted"":""38 Braunschweig, Germany""}}}"
