DSO Name,Maßnahmen ID,Grid Type,Cities,Project Type,State,Capacity Change,Date of completion,Geo Codes
Avacon,367,Line,"Dipperz, Elm",NB (Neubau),Planned,,Not Specified (part of plan up to 2045),"{""Dipperz, Germany"":{""lat"":50.5422395,""lng"":9.7998522,""address"":{""formatted"":""36 Dipperz, Germany""}},""Elm, Germany"":{""lat"":50.3603612,""lng"":9.558419299999999,""address"":{""formatted"":""36381 Schlüchtern-Elm, Germany""}}}"
Avacon,368,Line,Marburg/Süd,ENB (Ersatzneubau),Planned,630,Not Specified (part of plan up to 2045),"{""Marburg/Süd, Germany"":{""lat"":50.7945417,""lng"":8.7623017,""address"":{""formatted"":""Marburg Süd, 35039 Marburg, Germany""}}}"
Avacon,369,Line,"Waldeck, Korbach",ENB (Ersatzneubau),Planned,579,Not Specified (part of plan up to 2045),"{""Waldeck, Germany"":{""lat"":51.2076269,""lng"":9.0646516,""address"":{""formatted"":""34 Waldeck, Germany""}},""Korbach, Germany"":{""lat"":51.2774069,""lng"":8.8709876,""address"":{""formatted"":""34497 Korbach, Germany""}}}"
Avacon,370,UW,Erlensee,NB (Neubau),Planned,0,Not Specified (part of plan up to 2045),"{""Erlensee, Germany"":{""lat"":50.16299799999999,""lng"":8.9797139,""address"":{""formatted"":""63526 Erlensee, Germany""}}}"
Avacon,371,UW,Hanau/Nord,UW (Umspannwerk),Planned,0,Not Specified (part of plan up to 2045),"{""Hanau/Nord, Germany"":{""lat"":50.1418398,""lng"":8.925639199999999,""address"":{""formatted"":""Hanau Nord, 63452 Hanau, Germany""}}}"
Avacon,372,Line,"Karben, Dorheim, Dörnigheim",NB (Neubau),Planned,,Not Specified (part of plan up to 2045),"{""Karben, Germany"":{""lat"":50.2303566,""lng"":8.7736533,""address"":{""formatted"":""61184 Karben, Germany""}},""Dorheim, Germany"":{""lat"":50.3505082,""lng"":8.7973613,""address"":{""formatted"":""61169 Friedberg (Hessen)-Dorheim, Germany""}},""Dörnigheim, Germany"":{""lat"":50.13837299999999,""lng"":8.838805899999999,""address"":{""formatted"":""63477 Maintal-Dörnigheim, Germany""}}}"
Avacon,373,Line,"Großkrotzenburg, Wolfgang",NB (Neubau),Planned,419,Not Specified (part of plan up to 2045),"{""Großkrotzenburg, Germany"":{""lat"":50.0818163,""lng"":8.9839637,""address"":{""formatted"":""63 Großkrotzenburg, Germany""}},""Wolfgang, Germany"":{""lat"":50.11920680000001,""lng"":8.9598657,""address"":{""formatted"":""63457 Wolfgang, Germany""}}}"
Avacon,374,UW,Frankfurt/Nord,UW (Umspannwerk),Planned,0,Not Specified (part of plan up to 2045),"{""Frankfurt/Nord, Germany"":{""lat"":50.1456138,""lng"":8.6677723,""address"":{""formatted"":""60 Frankfurt-Mitte-Nord, Germany""}}}"
Avacon,375,UW,Großkrotzenburg,UW (Umspannwerk),Planned,0,Not Specified (part of plan up to 2045),"{""Großkrotzenburg, Germany"":{""lat"":50.0818163,""lng"":8.9839637,""address"":{""formatted"":""63 Großkrotzenburg, Germany""}}}"
Avacon,376,UW,Karben,UW (Umspannwerk),Planned,0,Not Specified (part of plan up to 2045),"{""Karben, Germany"":{""lat"":50.2303566,""lng"":8.7736533,""address"":{""formatted"":""61184 Karben, Germany""}}}"
Avacon,382,"UW, Line",Essel,NB (Neubau),Planned,0,Not Specified (part of plan up to 2045),"{""Essel, Germany"":{""lat"":52.6919716,""lng"":9.642972,""address"":{""formatted"":""29690 Essel, Germany""}}}"
Avacon,383,UW,Ganderkesee,UW (Umspannwerk),Planned,300,Not Specified (part of plan up to 2045),"{""Ganderkesee, Germany"":{""lat"":53.0349245,""lng"":8.5426865,""address"":{""formatted"":""27777 Ganderkesee, Germany""}}}"
Avacon,384,UW,Stadorf,UW (Umspannwerk),Planned,0,Not Specified (part of plan up to 2045),"{""Stadorf, Germany"":{""lat"":52.9919301,""lng"":10.3950159,""address"":{""formatted"":""29593 Schwienau-Stadorf, Germany""}}}"
Avacon,385,UW,Unterweser,UW (Umspannwerk),Planned,300,Not Specified (part of plan up to 2045),"{""Unterweser, Germany"":{""lat"":53.3263116,""lng"":8.4782391,""address"":{""formatted"":""26919 Brake, Germany""}}}"
Avacon,386,UW,Hänigsen,UW (Umspannwerk),Planned,70,Not Specified (part of plan up to 2045),"{""Hänigsen, Germany"":{""lat"":52.4836239,""lng"":10.092694,""address"":{""formatted"":""31311 Uetze-Hänigsen, Germany""}}}"
Avacon,387,UW,Haverlahwiese,UW (Umspannwerk),Planned,70,Not Specified (part of plan up to 2045),"{""Haverlahwiese, Germany"":{""lat"":52.0954485,""lng"":10.3373809,""address"":{""formatted"":""38229 Salzgitter-Haverlahwiese, Germany""}}}"
Avacon,388,UW,Hüttenrode,UW (Umspannwerk),Planned,70,Not Specified (part of plan up to 2045),"{""Hüttenrode, Germany"":{""lat"":51.7695586,""lng"":10.9055474,""address"":{""formatted"":""38 Hüttenrode, Germany""}}}"
Avacon,389,Line,"Mehringen, Düshorn, Sott-rum",ENB (Ersatzneubau),Planned,694,Not Specified (part of plan up to 2045),"{""Mehringen, Germany"":{""lat"":51.7283132,""lng"":11.5157204,""address"":{""formatted"":""06449 Aschersleben-Mehringen, Germany""}},""Düshorn, Germany"":{""lat"":52.8295744,""lng"":9.6273559,""address"":{""formatted"":""29664 Walsrode-Düshorn, Germany""}},""Sott-rum, Germany"":{""lat"":53.1123973,""lng"":9.2317413,""address"":{""formatted"":""27367 Sottrum, Germany""}}}"
Avacon,390,Line,"Düshorn, Oldau",80°C-Trassierung + FLM (Freileitungsmonitoring),Planned,170,Not Specified (part of plan up to 2045),"{""Düshorn, Germany"":{""lat"":52.8295744,""lng"":9.6273559,""address"":{""formatted"":""29664 Walsrode-Düshorn, Germany""}},""Oldau, Germany"":{""lat"":52.6551609,""lng"":9.930428,""address"":{""formatted"":""29313 Hambühren-Oldau, Germany""}}}"
Avacon,391,Line,"Oldau, Bostel",80°C-Trassierung + FLM (Freileitungsmonitoring),Planned,170,Not Specified (part of plan up to 2045),"{""Oldau, Germany"":{""lat"":52.6551609,""lng"":9.930428,""address"":{""formatted"":""29313 Hambühren-Oldau, Germany""}},""Bostel, Germany"":{""lat"":52.645131,""lng"":10.1349742,""address"":{""formatted"":""29229 Celle-Bostel, Germany""}}}"
Avacon,392,Line,"Lehrte, Landesbergen",ENB (Ersatzneubau),Planned,671,Not Specified (part of plan up to 2045),"{""Lehrte, Germany"":{""lat"":52.3746255,""lng"":9.9784211,""address"":{""formatted"":""31275 Lehrte, Germany""}},""Landesbergen, Germany"":{""lat"":52.5580405,""lng"":9.1198971,""address"":{""formatted"":""31628 Landesbergen, Germany""}}}"
Avacon,393,Line,"Braunschweig/Nord, Reten",80°C-Trassierung + FLM (Freileitungsmonitoring),Planned,,Not Specified (part of plan up to 2045),"{""Braunschweig/Nord, Germany"":{""lat"":52.2677907,""lng"":10.5245656,""address"":{""formatted"":""38 Braunschweig, Germany""}},""Reten, Germany"":{""lat"":52.7851387,""lng"":9.378928799999999,""address"":{""formatted"":""27336 Rethem, Germany""}}}"
Avacon,394,Line,Fallersleben,ENB (Ersatzneubau),Planned,236,Not Specified (part of plan up to 2045),"{""Fallersleben, Germany"":{""lat"":52.4159927,""lng"":10.7167046,""address"":{""formatted"":""Fallersleben, 38 Wolfsburg-Fallersleben-Sülfeld, Germany""}}}"
Avacon,395,"UW, Line",Volkstorf,NB (Neubau),Planned,0,Not Specified (part of plan up to 2045),"{""Volkstorf, Germany"":{""lat"":53.92659219999999,""lng"":10.915529,""address"":{""formatted"":""Volkstorf, 23942 Dassow, Germany""}}}"
Avacon,396,UW,Hattorf,UW (Umspannwerk),Planned,300,Not Specified (part of plan up to 2045),"{""Hattorf, Germany"":{""lat"":51.6460732,""lng"":10.2346962,""address"":{""formatted"":""37 Hattorf am Harz, Germany""}}}"
Avacon,400,UW,Goldbeck,UW (Umspannwerk),Planned,126,Not Specified (part of plan up to 2045),"{""Goldbeck, Germany"":{""lat"":52.7171622,""lng"":11.8618344,""address"":{""formatted"":""39 Goldbeck, Germany""}}}"
Avacon,401,Line,"Osterburg, Goldbeck",NB (Neubau),Planned,485,Not Specified (part of plan up to 2045),"{""Osterburg, Germany"":{""lat"":52.7878826,""lng"":11.7535198,""address"":{""formatted"":""39606 Osterburg, Germany""}},""Goldbeck, Germany"":{""lat"":52.7171622,""lng"":11.8618344,""address"":{""formatted"":""39 Goldbeck, Germany""}}}"
Avacon,402a,UW,Osterburg,UW (Umspannwerk),Planned,600,Not Specified (part of plan up to 2045),"{""Osterburg, Germany"":{""lat"":52.7878826,""lng"":11.7535198,""address"":{""formatted"":""39606 Osterburg, Germany""}}}"
Avacon,402b,UW,Osterburg,UW (Umspannwerk),Planned,300,Not Specified (part of plan up to 2045),"{""Osterburg, Germany"":{""lat"":52.7878826,""lng"":11.7535198,""address"":{""formatted"":""39606 Osterburg, Germany""}}}"
Avacon,403,UW,Großauheim,UW (Umspannwerk),Planned,0,Not Specified (part of plan up to 2045),"{""Großauheim, Germany"":{""lat"":50.10406529999999,""lng"":8.9511515,""address"":{""formatted"":""63457 Hanau-Großauheim, Germany""}}}"
Avacon,404,Line,"Steinitz, Güssefeld",ENB (Ersatzneubau),Planned,660,Not Specified (part of plan up to 2045),"{""Steinitz, Germany"":{""lat"":52.8156273,""lng"":11.1160023,""address"":{""formatted"":""29410 Salzwedel-Steinitz, Germany""}},""Güssefeld, Germany"":{""lat"":52.7197439,""lng"":11.3728089,""address"":{""formatted"":""39624 Kalbe-Güssefeld, Germany""}}}"
Avacon,405,Line,"Gardelegen, Kunrau",ENB (Ersatzneubau),Planned,660,Not Specified (part of plan up to 2045),"{""Gardelegen, Germany"":{""lat"":52.5268133,""lng"":11.401844,""address"":{""formatted"":""39 Gardelegen, Germany""}},""Kunrau, Germany"":{""lat"":52.5658808,""lng"":11.0204064,""address"":{""formatted"":""38486 Klötze-Kunrau, Germany""}}}"
Avacon,406,Line,"Gardelegen, Stendal West",ENB (Ersatzneubau),Planned,,Not Specified (part of plan up to 2045),"{""Gardelegen, Germany"":{""lat"":52.5268133,""lng"":11.401844,""address"":{""formatted"":""39 Gardelegen, Germany""}},""Stendal West, Germany"":{""lat"":52.6041444,""lng"":11.8517729,""address"":{""formatted"":""39 Stendal, Germany""}}}"
Avacon,407,Line,"Gardelegen, Sommersdorf",ENB (Ersatzneubau),Planned,660,Not Specified (part of plan up to 2045),"{""Gardelegen, Germany"":{""lat"":52.5268133,""lng"":11.401844,""address"":{""formatted"":""39 Gardelegen, Germany""}},""Sommersdorf, Germany"":{""lat"":52.1661055,""lng"":11.0823372,""address"":{""formatted"":""39 Sommersdorf, Germany""}}}"
Avacon,408,Line,"Genthin, Demsin",FLM (Freileitungsmonitoring),Planned,50,Not Specified (part of plan up to 2045),"{""Genthin, Germany"":{""lat"":52.4006218,""lng"":12.1601527,""address"":{""formatted"":""39 Genthin, Germany""}},""Demsin, Germany"":{""lat"":52.4347648,""lng"":12.2711604,""address"":{""formatted"":""39307 Demsin, Germany""}}}"
Avacon,409,Line,"Stendal, Wolmirstedt",ENB (Ersatzneubau),Planned,320,Not Specified (part of plan up to 2045),"{""Stendal, Germany"":{""lat"":52.6041444,""lng"":11.8517729,""address"":{""formatted"":""39 Stendal, Germany""}},""Wolmirstedt, Germany"":{""lat"":52.2521368,""lng"":11.629014,""address"":{""formatted"":""39326 Wolmirstedt, Germany""}}}"
Avacon,410,UW,Eulenberg,UW (Umspannwerk),Planned,400,Not Specified (part of plan up to 2045),"{""Eulenberg, Germany"":{""lat"":50.6057986,""lng"":7.4752337,""address"":{""formatted"":""Eulenberg, Germany""}}}"
Avacon,484,Line,"Hüttenrode, Wernigerode",ENB (Ersatzneubau),Planned,711,Not Specified (part of plan up to 2045),"{""Hüttenrode, Germany"":{""lat"":51.7695586,""lng"":10.9055474,""address"":{""formatted"":""38 Hüttenrode, Germany""}},""Wernigerode, Germany"":{""lat"":51.8368113,""lng"":10.7844266,""address"":{""formatted"":""38 Wernigerode, Germany""}}}"
Avacon,485,Line,"Wernigerode, Ilsenburg, Wasserleben",FLM (Freileitungsmonitoring),Planned,107.8,Not Specified (part of plan up to 2045),"{""Wernigerode, Germany"":{""lat"":51.8368113,""lng"":10.7844266,""address"":{""formatted"":""38 Wernigerode, Germany""}},""Ilsenburg, Germany"":{""lat"":51.8677998,""lng"":10.6848786,""address"":{""formatted"":""38871 Ilsenburg, Germany""}},""Wasserleben, Germany"":{""lat"":51.9207542,""lng"":10.7567796,""address"":{""formatted"":""38871 Wasserleben, Germany""}}}"
Avacon,486,Line,"Wernigerode, Ilsenburg, Wasserleben",ENB (Ersatzneubau),Planned,663.4,Not Specified (part of plan up to 2045),"{""Wernigerode, Germany"":{""lat"":51.8368113,""lng"":10.7844266,""address"":{""formatted"":""38 Wernigerode, Germany""}},""Ilsenburg, Germany"":{""lat"":51.8677998,""lng"":10.6848786,""address"":{""formatted"":""38871 Ilsenburg, Germany""}},""Wasserleben, Germany"":{""lat"":51.9207542,""lng"":10.7567796,""address"":{""formatted"":""38871 Wasserleben, Germany""}}}"
Avacon,487,Line,"Thale, Halberstadt Süd",FLM (Freileitungsmonitoring),Planned,147.4,Not Specified (part of plan up to 2045),"{""Thale, Germany"":{""lat"":51.7490809,""lng"":11.0404305,""address"":{""formatted"":""Thale, Germany""}},""Halberstadt Süd, Germany"":{""lat"":51.8803,""lng"":11.05655,""address"":{""formatted"":""Klusstraße 38, 38820 Halberstadt, Germany""}}}"
Avacon,488,Line,"Thale, Halberstadt Süd",ENB (Ersatzneubau),Planned,597,Not Specified (part of plan up to 2045),"{""Thale, Germany"":{""lat"":51.7490809,""lng"":11.0404305,""address"":{""formatted"":""Thale, Germany""}},""Halberstadt Süd, Germany"":{""lat"":51.8803,""lng"":11.05655,""address"":{""formatted"":""Klusstraße 38, 38820 Halberstadt, Germany""}}}"
Avacon,489,Line,"Hüttenrode, Thale",FLM (Freileitungsmonitoring),Planned,147.4,Not Specified (part of plan up to 2045),"{""Hüttenrode, Germany"":{""lat"":51.7695586,""lng"":10.9055474,""address"":{""formatted"":""38 Hüttenrode, Germany""}},""Thale, Germany"":{""lat"":51.7490809,""lng"":11.0404305,""address"":{""formatted"":""Thale, Germany""}}}"
Avacon,490,Line,"Güssefeld, Stendal West",FLM (Freileitungsmonitoring),Planned,311,Not Specified (part of plan up to 2045),"{""Güssefeld, Germany"":{""lat"":52.7197439,""lng"":11.3728089,""address"":{""formatted"":""39624 Kalbe-Güssefeld, Germany""}},""Stendal West, Germany"":{""lat"":52.6041444,""lng"":11.8517729,""address"":{""formatted"":""39 Stendal, Germany""}}}"
Avacon,491,UW,Meitzendorf,UW: Neubau,Planned,80,Not Specified (part of plan up to 2045),"{""Meitzendorf, Germany"":{""lat"":52.21189460000001,""lng"":11.5605837,""address"":{""formatted"":""39179 Barleben-Meitzendorf, Germany""}}}"
Avacon,492,UW,Salzwedel,UW: Neubau,Planned,900,Not Specified (part of plan up to 2045),"{""Salzwedel, Germany"":{""lat"":52.84965039999999,""lng"":11.1514876,""address"":{""formatted"":""29410 Salzwedel, Germany""}}}"
Avacon,493,UW,Genthin,UW: Neubau,Planned,600,Not Specified (part of plan up to 2045),"{""Genthin, Germany"":{""lat"":52.4006218,""lng"":12.1601527,""address"":{""formatted"":""39 Genthin, Germany""}}}"
Avacon,494,UW,Genthin,UW: Ausbau,Planned,600,Not Specified (part of plan up to 2045),"{""Genthin, Germany"":{""lat"":52.4006218,""lng"":12.1601527,""address"":{""formatted"":""39 Genthin, Germany""}}}"
Avacon,495,UW,Gardelegen,UW: Neubau,Planned,1200,Not Specified (part of plan up to 2045),"{""Gardelegen, Germany"":{""lat"":52.5268133,""lng"":11.401844,""address"":{""formatted"":""39 Gardelegen, Germany""}}}"
Avacon,496,UW,Erxleben,UW: Neubau,Planned,900,Not Specified (part of plan up to 2045),"{""Erxleben, Germany"":{""lat"":52.2189717,""lng"":11.2407959,""address"":{""formatted"":""39343 Erxleben, Germany""}}}"
Avacon,497,UW,Erxleben,UW: Ausbau,Planned,300,Not Specified (part of plan up to 2045),"{""Erxleben, Germany"":{""lat"":52.2189717,""lng"":11.2407959,""address"":{""formatted"":""39343 Erxleben, Germany""}}}"
Avacon,498,UW,Kunrau,UW: Neubau,Planned,300,Not Specified (part of plan up to 2045),"{""Kunrau, Germany"":{""lat"":52.5658808,""lng"":11.0204064,""address"":{""formatted"":""38486 Klötze-Kunrau, Germany""}}}"
Avacon,499,UW,Sommersdorf,UW: Neubau,Planned,600,Not Specified (part of plan up to 2045),"{""Sommersdorf, Germany"":{""lat"":52.1661055,""lng"":11.0823372,""address"":{""formatted"":""39 Sommersdorf, Germany""}}}"
Avacon,500,UW,Sommersdorf,UW: Ausbau,Planned,300,Not Specified (part of plan up to 2045),"{""Sommersdorf, Germany"":{""lat"":52.1661055,""lng"":11.0823372,""address"":{""formatted"":""39 Sommersdorf, Germany""}}}"
Avacon,501,UW,Wolmirstedt,UW: Ausbau,Planned,400,Not Specified (part of plan up to 2045),"{""Wolmirstedt, Germany"":{""lat"":52.2521368,""lng"":11.629014,""address"":{""formatted"":""39326 Wolmirstedt, Germany""}}}"
Avacon,502,UW,Förderstedt,UW: Ausbau,Planned,400,Not Specified (part of plan up to 2045),"{""Förderstedt, Germany"":{""lat"":51.8983604,""lng"":11.6351419,""address"":{""formatted"":""39443 Staßfurt-Förderstedt, Germany""}}}"
Avacon,503,Line,"Rüstersiel, Voslapp",ENB (Ersatzneubau),Planned,550,Not Specified (part of plan up to 2045),"{""Rüstersiel, Germany"":{""lat"":53.560164,""lng"":8.117631,""address"":{""formatted"":""Rüstersiel, 26386 Wilhelmshaven, Germany""}},""Voslapp, Germany"":{""lat"":53.586063,""lng"":8.104593099999999,""address"":{""formatted"":""26388 Wilhelmshaven-Voslapp, Germany""}}}"
Avacon,504,Line,"Fedderwarden, Rüstersiel",ENB (Ersatzneubau),Planned,550,Not Specified (part of plan up to 2045),"{""Fedderwarden, Germany"":{""lat"":53.5627626,""lng"":8.0465241,""address"":{""formatted"":""26388 Wilhelmshaven-Fedderwarden, Germany""}},""Rüstersiel, Germany"":{""lat"":53.560164,""lng"":8.117631,""address"":{""formatted"":""Rüstersiel, 26386 Wilhelmshaven, Germany""}}}"
Avacon,505,Line,"Rüstersiel, Wilhelmshaven KW",ENB (Ersatzneubau),Planned,550,Not Specified (part of plan up to 2045),"{""Rüstersiel, Germany"":{""lat"":53.560164,""lng"":8.117631,""address"":{""formatted"":""Rüstersiel, 26386 Wilhelmshaven, Germany""}},""Wilhelmshaven KW, Germany"":{""lat"":53.53234029999999,""lng"":8.1068722,""address"":{""formatted"":""26 Wilhelmshaven, Germany""}}}"
Avacon,506,Line,"Emden Kraftwerk, Emden Borßum",FLM (Freileitungsmonitoring),Planned,170,Not Specified (part of plan up to 2045),"{""Emden Kraftwerk, Germany"":{""lat"":53.3401988,""lng"":7.2067922,""address"":{""formatted"":""26725 Emden, Germany""}},""Emden Borßum, Germany"":{""lat"":53.3452876,""lng"":7.2235985,""address"":{""formatted"":""26725 Emden-Borssum, Germany""}}}"
Avacon,507,Line,"Abzw. Garrel Ost, Oldenburg West",ENB (Ersatzneubau),Planned,578,Not Specified (part of plan up to 2045),"{""Abzw. Garrel Ost, Germany"":{""lat"":52.95310850000001,""lng"":8.0255988,""address"":{""formatted"":""49681 Garrel, Germany""}},""Oldenburg West, Germany"":{""lat"":53.1434501,""lng"":8.214552099999999,""address"":{""formatted"":""26 Oldenburg, Germany""}}}"
Avacon,508,Line,"Conneforde, Oldenburg Nord",ENB (Ersatzneubau),Planned,596,Not Specified (part of plan up to 2045),"{""Conneforde, Germany"":{""lat"":53.3253129,""lng"":8.0599501,""address"":{""formatted"":""26215 Wiefelstede-Conneforde, Germany""}},""Oldenburg Nord, Germany"":{""lat"":53.1434501,""lng"":8.214552099999999,""address"":{""formatted"":""26 Oldenburg, Germany""}}}"
Avacon,509,Line,"Oldenburg Nord, Oldenburg Ost",80°C-Trassierung + FLM,Planned,75,Not Specified (part of plan up to 2045),"{""Oldenburg Nord, Germany"":{""lat"":53.1434501,""lng"":8.214552099999999,""address"":{""formatted"":""26 Oldenburg, Germany""}},""Oldenburg Ost, Germany"":{""lat"":53.1134547,""lng"":8.272973,""address"":{""formatted"":""Kreuz Oldenburg-Ost, 26135 Oldenburg, Germany""}}}"
Avacon,510,Line,"Abzw. Garrel, Friesoythe",ENB (Ersatzneubau),Planned,578,Not Specified (part of plan up to 2045),"{""Abzw. Garrel, Germany"":{""lat"":52.95310850000001,""lng"":8.0255988,""address"":{""formatted"":""49681 Garrel, Germany""}},""Friesoythe, Germany"":{""lat"":53.0244916,""lng"":7.8589508,""address"":{""formatted"":""26169 Friesoythe, Germany""}}}"
Avacon,511,Line,"Westerstede, Conneforde",ENB (Ersatzneubau),Planned,550,Not Specified (part of plan up to 2045),"{""Westerstede, Germany"":{""lat"":53.2577806,""lng"":7.9222968,""address"":{""formatted"":""26655 Westerstede, Germany""}},""Conneforde, Germany"":{""lat"":53.3253129,""lng"":8.0599501,""address"":{""formatted"":""26215 Wiefelstede-Conneforde, Germany""}}}"
Avacon,512,Line,"Oldenburg West, Edewecht",FLM (Freileitungsmonitoring),Planned,123,Not Specified (part of plan up to 2045),"{""Oldenburg West, Germany"":{""lat"":53.1434501,""lng"":8.214552099999999,""address"":{""formatted"":""26 Oldenburg, Germany""}},""Edewecht, Germany"":{""lat"":53.1261691,""lng"":7.983006199999998,""address"":{""formatted"":""26188 Edewecht, Germany""}}}"
Avacon,513,Line,"Cloppenburg Ost, Vechta Süd",ENB (Ersatzneubau),Planned,580,Not Specified (part of plan up to 2045),"{""Cloppenburg Ost, Germany"":{""lat"":52.8452899,""lng"":8.0472991,""address"":{""formatted"":""49661 Cloppenburg, Germany""}},""Vechta Süd, Germany"":{""lat"":52.7004499,""lng"":8.2766077,""address"":{""formatted"":""Topheide 2, 49377 Vechta, Germany""}}}"
Avacon,514,Line,"Vechta Süd, Ganderkesee",ENB (Ersatzneubau),Planned,580,Not Specified (part of plan up to 2045),"{""Vechta Süd, Germany"":{""lat"":52.7004499,""lng"":8.2766077,""address"":{""formatted"":""Topheide 2, 49377 Vechta, Germany""}},""Ganderkesee, Germany"":{""lat"":53.0349245,""lng"":8.5426865,""address"":{""formatted"":""27777 Ganderkesee, Germany""}}}"
Avacon,515,Line,"Ganderkesee, Schönemoor",ENB (Ersatzneubau),Planned,596,Not Specified (part of plan up to 2045),"{""Ganderkesee, Germany"":{""lat"":53.0349245,""lng"":8.5426865,""address"":{""formatted"":""27777 Ganderkesee, Germany""}},""Schönemoor, Germany"":{""lat"":53.0927646,""lng"":8.6009727,""address"":{""formatted"":""27777 Ganderkesee-Schönemoor, Germany""}}}"
Avacon,516,Line,"Delmenhorst Nord, Hude",FLM (Freileitungsmonitoring),Planned,123,Not Specified (part of plan up to 2045),"{""Delmenhorst Nord, Germany"":{""lat"":53.0485048,""lng"":8.6254748,""address"":{""formatted"":""27 Delmenhorst, Germany""}},""Hude, Germany"":{""lat"":53.10824239999999,""lng"":8.469172499999999,""address"":{""formatted"":""27798 Hude, Germany""}}}"
Avacon,517,Line,"Haselünne, Sögel",ENB (Ersatzneubau),Planned,704,Not Specified (part of plan up to 2045),"{""Haselünne, Germany"":{""lat"":52.6763414,""lng"":7.4809826,""address"":{""formatted"":""49740 Haselünne, Germany""}},""Sögel, Germany"":{""lat"":52.8411079,""lng"":7.5191126,""address"":{""formatted"":""49 Sögel, Germany""}}}"
Avacon,518,Line,"Sögel, Werlte",ENB (Ersatzneubau),Planned,578,Not Specified (part of plan up to 2045),"{""Sögel, Germany"":{""lat"":52.8411079,""lng"":7.5191126,""address"":{""formatted"":""49 Sögel, Germany""}},""Werlte, Germany"":{""lat"":52.85252089999999,""lng"":7.671886000000001,""address"":{""formatted"":""49757 Werlte, Germany""}}}"
Avacon,519,Line,"Papenburg, Werlte",ENB (Ersatzneubau),Planned,578,Not Specified (part of plan up to 2045),"{""Papenburg, Germany"":{""lat"":53.0726142,""lng"":7.4232678,""address"":{""formatted"":""26871 Papenburg, Germany""}},""Werlte, Germany"":{""lat"":52.85252089999999,""lng"":7.671886000000001,""address"":{""formatted"":""49757 Werlte, Germany""}}}"
Avacon,520,Line,"Diele, Völlen",ENB (Ersatzneubau),Planned,550,Not Specified (part of plan up to 2045),"{""Diele, Germany"":{""lat"":53.1209336,""lng"":7.3143667,""address"":{""formatted"":""26826 Weener-Diele, Germany""}},""Völlen, Germany"":{""lat"":53.1074041,""lng"":7.380052300000001,""address"":{""formatted"":""26810 Westoverledingen-Völlen, Germany""}}}"
Avacon,521,Line,"Völlen, Weener",ENB (Ersatzneubau),Planned,550,Not Specified (part of plan up to 2045),"{""Völlen, Germany"":{""lat"":53.1074041,""lng"":7.380052300000001,""address"":{""formatted"":""26810 Westoverledingen-Völlen, Germany""}},""Weener, Germany"":{""lat"":53.1638205,""lng"":7.346154,""address"":{""formatted"":""26 Weener, Germany""}}}"
Avacon,522,UW,Niederlangen,UW: Ausbau,Planned,300,Not Specified (part of plan up to 2045),"{""Niederlangen, Germany"":{""lat"":52.8563302,""lng"":7.2832782,""address"":{""formatted"":""49779 Niederlangen, Germany""}}}"
Avacon,523,Line,"Conneforde, Roffhausen",ENB (Ersatzneubau),Planned,540,Not Specified (part of plan up to 2045),"{""Conneforde, Germany"":{""lat"":53.3253129,""lng"":8.0599501,""address"":{""formatted"":""26215 Wiefelstede-Conneforde, Germany""}},""Roffhausen, Germany"":{""lat"":53.5258765,""lng"":8.0283306,""address"":{""formatted"":""26419 Schortens-Roffhausen, Germany""}}}"
Avacon,524,Line,"Oldenburg West, Edewecht, Bad Zwischenahn, Westerstede",ENB (Ersatzneubau),Planned,580,Not Specified (part of plan up to 2045),"{""Oldenburg West, Germany"":{""lat"":53.1434501,""lng"":8.214552099999999,""address"":{""formatted"":""26 Oldenburg, Germany""}},""Edewecht, Germany"":{""lat"":53.1261691,""lng"":7.983006199999998,""address"":{""formatted"":""26188 Edewecht, Germany""}},""Bad Zwischenahn, Germany"":{""lat"":53.1814401,""lng"":8.009876499999999,""address"":{""formatted"":""26160 Bad Zwischenahn, Germany""}},""Westerstede, Germany"":{""lat"":53.2577806,""lng"":7.9222968,""address"":{""formatted"":""26655 Westerstede, Germany""}}}"
Avacon,525,Line,"Emden Borßum, Aurich, Wiesmoor",ENB (Ersatzneubau),Planned,585,Not Specified (part of plan up to 2045),"{""Emden Borßum, Germany"":{""lat"":53.3452876,""lng"":7.2235985,""address"":{""formatted"":""26725 Emden-Borssum, Germany""}},""Aurich, Germany"":{""lat"":53.472548,""lng"":7.4833137,""address"":{""formatted"":""26 Aurich, Germany""}},""Wiesmoor, Germany"":{""lat"":53.4161775,""lng"":7.733744799999999,""address"":{""formatted"":""26639 Wiesmoor, Germany""}}}"
Avacon,526,Line,"Unterweser, Weser Zink",ENB (Ersatzneubau),Planned,550,Not Specified (part of plan up to 2045),"{""Unterweser, Germany"":{""lat"":53.3263116,""lng"":8.4782391,""address"":{""formatted"":""26919 Brake, Germany""}},""Weser Zink, Germany"":{""lat"":53.5063892484018 ,""lng"":8.50983409080663,""address"":{""formatted"":""Weser, Germany""}}}"
Avacon,527,Line,"Schönemoor, Hude",ENB (Ersatzneubau),Planned,580,Not Specified (part of plan up to 2045),"{""Schönemoor, Germany"":{""lat"":53.0927646,""lng"":8.6009727,""address"":{""formatted"":""27777 Ganderkesee-Schönemoor, Germany""}},""Hude, Germany"":{""lat"":53.10824239999999,""lng"":8.469172499999999,""address"":{""formatted"":""27798 Hude, Germany""}}}"
